Unnamed: 0,FirstName,LastName,StartDate,ExitDate,Title,Supervisor,ADEmail,BusinessUnit,EmployeeStatus,EmployeeType,PayZone,EmployeeClassificationType,TerminationType,TerminationDescription,DepartmentType,Division,DOB,State,JobFunctionDescription,GenderCode,LocationCode,RaceDesc,MaritalDesc,Performance Score,Current Employee Rating,Employee ID,Survey Date,Engagement Score,Satisfaction Score,Work-Life Balance Score,Training Date,Training Program Name,Training Type,Training Outcome,Location,Trainer,Training Duration(Days),Training Cost,Turnover,TenureDays
11,Dheepa,Nguyen,2018-08-10,2019-11-04,Area Sales Manager,Brian Miller,dheepa.nguyen@bilearner.com,MSC,Active,Full-Time,Zone C,Temporary,Retirement,Alone once than. More condition pay far.,Sales,General - Con,06-04-1948,GA,Technician,Female,30428,Asian,Married,Fully Meets,3,3438,28-10-2022,4,2,5,05-Oct-22,Technical Skills,Internal,Failed,Nunezmouth,Sharon Flores DDS,2,208.17,1,451
12,Bartholemew,Khemmich,2022-05-25,2022-11-27,Area Sales Manager,Charles Parks,bartholemew.khemmich@bilearner.com,EW,Active,Full-Time,Zone A,Temporary,Involuntary,Foot in theory minute recognize test.,Sales,Splicing,24-11-1981,CO,Splicer,Male,80820,Other,Single,Fully Meets,3,3439,30-10-2022,1,2,5,09-Mar-23,Technical Skills,External,Incomplete,Port Margaretview,Kimberly Garcia,1,421.07,1,186
13,Xana,Potts,2019-12-05,2023-02-17,Area Sales Manager,Gregory Walker,xana.potts@bilearner.com,CCDR,Active,Contract,Zone A,Full-Time,Resignation,Degree wish science when thing week old.,Sales,Finance & Accounting,06-11-1951,KY,Controller,Female,40220,White,Divorced,Fully Meets,3,3440,24-09-2022,1,4,5,29-May-23,Communication Skills,External,Failed,Nancyview,Christopher Underwood,1,649.03,1,1170
14,Prater,Jeremy,2019-04-28,,Area Sales Manager,Tyler Lewis,prater.jeremy@bilearner.com,BPC,Active,Part-Time,Zone A,Part-Time,Unk,,Sales,General - Con,21-11-1989,NV,Lineman,Male,89139,Asian,Widowed,Exceeds,4,3441,30-10-2022,4,2,5,08-Jan-23,Project Management,Internal,Passed,Carrollside,Robert Kane,4,450.2,0,1561
15,Kaylah,Moon,2019-07-09,2022-06-16,Area Sales Manager,Ashley Scott,kaylah.moon@bilearner.com,PYZ,Active,Full-Time,Zone A,Full-Time,Retirement,Fear particular method stage.,IT/IS,Field Operations,24-11-1952,MA,Laborer,Male,2810,Black,Single,Exceeds,2,3442,31-10-2022,2,5,3,06-Mar-23,Project Management,External,Failed,Port Davidshire,Victoria Berry,4,286.87,1,1073
16,Kristen,Tate,2021-04-05,2023-05-12,Area Sales Manager,Lauren Jones,kristen.tate@bilearner.com,WBL,Active,Full-Time,Zone C,Part-Time,Voluntary,Wall body wonder successful.,IT/IS,Project Management - Con,08-04-1994,KY,Coordinator,Male,2621,Asian,Widowed,Fully Meets,3,3443,29-04-2023,2,2,4,18-Feb-23,Technical Skills,External,Failed,East Katie,Gary Thornton,3,402.13,1,767
17,Bobby,Rodgers,2021-11-28,2022-02-04,Area Sales Manager,Matthew Jackson,bobby.rodgers@bilearner.com,NEL,Active,Contract,Zone A,Part-Time,Voluntary,Visit foot nearly radio treatment.,Sales,Engineers,15-11-1983,KY,Director,Male,44553,Other,Widowed,Fully Meets,3,3444,14-12-2022,1,2,4,02-Nov-22,Technical Skills,External,Failed,Jacobburgh,William Willis,2,388.84,1,68
18,Reid,Park,2021-01-16,,Area Sales Manager,Michelle Mitchell,reid.park@bilearner.com,PL,Active,Contract,Zone C,Full-Time,Unk,,Sales,Project Management - Con,07-12-1985,KY,Supervisor,Female,5360,Other,Married,Exceeds,4,3445,07-05-2023,4,5,2,14-Jul-23,Project Management,External,Completed,Ryanmouth,Andre Wu,2,879.64,0,932
19,Hector,Dalton,2021-08-24,,Area Sales Manager,Sydney French,hector.dalton@bilearner.com,BPC,Active,Part-Time,Zone A,Part-Time,Unk,,Sales,Field Operations,01-05-1996,TX,Driller,Female,16325,White,Divorced,Exceeds,2,3446,21-05-2023,4,3,5,11-Dec-22,Technical Skills,Internal,Failed,South John,Olivia Holland,5,701.13,0,712
20,Mariela,Schultz,2020-05-26,2023-06-18,Area Sales Manager,Michelle Evans MD,mariela.schultz@bilearner.com,CCDR,Future Start,Part-Time,Zone C,Part-Time,Involuntary,Unit pass office southern break one.,Sales,General - Con,17-02-1964,TX,Technician,Female,43481,Asian,Widowed,Fully Meets,3,3447,08-05-2023,5,1,4,02-Apr-23,Customer Service,Internal,Incomplete,Kristenton,Kimberly Doyle,3,353.21,1,1118
21,Angela,Molina,2019-10-01,2020-11-06,Area Sales Manager,Patricia Cook,angela.molina@bilearner.com,SVG,Future Start,Full-Time,Zone A,Temporary,Retirement,List class mind.,Sales,Engineers,12-05-1958,TX,Specialist,Male,50705,Asian,Widowed,Fully Meets,3,3448,28-03-2023,5,1,5,16-May-23,Communication Skills,Internal,Completed,West Jamesview,Lindsay Williams,4,911.05,1,402
22,Gerald,Preston,2023-05-10,2023-05-27,Area Sales Manager,Ashley Reeves,gerald.preston@bilearner.com,EW,Future Start,Contract,Zone B,Temporary,Involuntary,Price third parent evening.,Sales,General - Eng,18-09-1992,CO,Technician,Male,5168,Black,Single,Fully Meets,5,3449,30-06-2023,3,2,1,02-Oct-22,Communication Skills,External,Completed,Josebury,Joseph Faulkner,3,242.21,1,17
23,Reilly,Moyer,2020-09-01,2022-12-04,Area Sales Manager,Stanley Harvey,reilly.moyer@bilearner.com,MSC,Active,Contract,Zone C,Temporary,Resignation,Cause military a sense. Doctor property may.,Sales,Field Operations,11-08-1994,CO,Operator,Male,11765,Other,Single,Exceeds,2,3450,18-01-2023,4,3,5,12-Jan-23,Technical Skills,Internal,Completed,South Benjaminfurt,Laura Davis,4,186.07,1,824
24,Carlee,French,2021-02-18,2022-11-11,Area Sales Manager,Michael Bradshaw,carlee.french@bilearner.com,TNS,Active,Contract,Zone C,Full-Time,Voluntary,Station another son positive.,Sales,General - Con,15-01-1968,CO,Technician,Male,71071,Other,Divorced,Exceeds,3,3451,29-04-2023,5,1,2,22-Mar-23,Technical Skills,External,Completed,Duncanview,Betty Williams,1,921.97,1,631
25,Jaydon,Blackburn,2022-11-08,,Area Sales Manager,Debbie Crosby,jaydon.blackburn@bilearner.com,PYZ,Active,Part-Time,Zone A,Part-Time,Unk,,Sales,General - Con,07-01-1947,IN,Foreman,Male,12122,Black,Divorced,Fully Meets,2,3452,19-01-2023,5,5,2,13-Sep-22,Customer Service,Internal,Failed,Lake Jonathan,Daniel Miller,1,691.04,0,271
26,Bridger,Carter,2022-10-13,,Area Sales Manager,Elizabeth Taylor,bridger.carter@bilearner.com,WBL,Active,Contract,Zone C,Part-Time,Unk,,Sales,Fielders,07-04-1982,MA,Engineer,Male,87065,White,Widowed,Fully Meets,4,3453,17-09-2022,5,5,3,25-Aug-22,Customer Service,External,Completed,Port Jamesshire,Samantha Hodge,5,964.44,0,297
27,Leon,Beard,2022-09-11,,Area Sales Manager,Brian Dunlap,leon.beard@bilearner.com,PYZ,Active,Full-Time,Zone C,Full-Time,Unk,,IT/IS,General - Con,29-01-1970,KY,Foreman,Male,10415,Hispanic,Married,Needs Improvement,4,3454,14-03-2023,4,4,2,07-Feb-23,Communication Skills,Internal,Passed,West Brandon,Jonathan Brady,3,184.9,0,329
28,Charity,Miranda,2021-06-29,2022-07-05,Area Sales Manager,Daniel Rodriguez,charity.miranda@bilearner.com,WBL,Active,Full-Time,Zone C,Temporary,Resignation,Pm local take example fund. Small heavy listen.,Sales,Project Management - Eng,18-01-1999,KY,Manager,Male,3763,Other,Widowed,Exceeds,4,3455,12-08-2022,2,1,1,17-Mar-23,Project Management,External,Passed,Wadefurt,Timothy Moreno,1,220.41,1,371
29,Axel,Howe,2023-03-06,,Area Sales Manager,Martin Hammond,axel.howe@bilearner.com,NEL,Active,Full-Time,Zone A,Temporary,Unk,,Sales,Field Operations,25-09-1946,KY,Technician,Female,79623,Black,Divorced,Fully Meets,3,3456,30-03-2023,4,3,4,08-Jun-23,Technical Skills,External,Passed,East Aaron,Morgan Wright,2,336.82,0,153
30,Milton,Wall,2020-09-25,,Area Sales Manager,Sara Bell,milton.wall@bilearner.com,PL,Active,Full-Time,Zone B,Temporary,Unk,,Sales,Engineers,23-08-1947,KY,Technician,Female,69189,White,Divorced,Needs Improvement,3,3457,21-04-2023,5,1,4,15-Apr-23,Customer Service,External,Completed,Williamsbury,Jeremy Garcia,4,485.73,0,1045
31,Cory,Robinson,2022-04-28,2023-05-24,Area Sales Manager,Elizabeth Anderson,cory.robinson@bilearner.com,BPC,Future Start,Contract,Zone A,Full-Time,Voluntary,Several young whether that expert.,Sales,Field Operations,12-08-1996,TX,Laborer,Female,5194,Hispanic,Single,Needs Improvement,3,3458,14-02-2023,2,5,5,02-Dec-22,Communication Skills,Internal,Failed,North Deborahville,Joseph Ward,2,409.27,1,391
32,Saniya,Yu,2021-04-18,2022-06-21,Area Sales Manager,Erin Bailey,saniya.yu@bilearner.com,CCDR,Future Start,Part-Time,Zone A,Full-Time,Retirement,Science end approach democratic treatment.,Sales,General - Con,09-02-1944,TX,Splicer,Male,8779,Black,Widowed,Exceeds,2,3459,26-10-2022,4,4,3,14-Jun-23,Communication Skills,Internal,Passed,Chapmanbury,Joseph Thomas,4,168.32,1,429
33,Alisa,James,2020-02-19,,Area Sales Manager,Dennis Henderson,alisa.james@bilearner.com,SVG,Active,Full-Time,Zone A,Full-Time,Unk,,Sales,Aerial,10-02-1944,TX,Lineman,Male,74682,Asian,Married,Fully Meets,3,3460,16-11-2022,4,3,3,08-Jul-23,Communication Skills,External,Incomplete,Paulashire,Willie Hernandez,5,919.52,0,1264
34,Lincoln,Compton,2019-07-18,2021-10-01,Area Sales Manager,Tammy Conner,lincoln.compton@bilearner.com,EW,Future Start,Full-Time,Zone C,Part-Time,Resignation,Base scene central unit per argue. Might last of.,Sales,General - Con,29-12-1997,CO,Foreman,Male,78046,Hispanic,Married,Needs Improvement,1,3461,24-04-2023,1,4,4,05-Jan-23,Technical Skills,External,Completed,Taylorland,Micheal Munoz,2,948.43,1,806
35,Aliana,Nolan,2018-09-13,2021-09-17,Area Sales Manager,Brianna Mathews,aliana.nolan@bilearner.com,MSC,Active,Contract,Zone A,Full-Time,Involuntary,Yourself book budget product.,Sales,Field Operations,09-08-1942,CO,Coordinator,Male,27270,Hispanic,Divorced,Needs Improvement,3,3462,08-11-2022,3,3,1,19-Jul-23,Project Management,External,Completed,Erinville,Stacey Esparza,1,320.01,1,1100
36,Kayden,Dodson,2020-04-30,2021-07-18,Area Sales Manager,Jessica Peters,kayden.dodson@bilearner.com,TNS,Active,Part-Time,Zone A,Temporary,Retirement,Paper can score else investment.,Sales,Field Operations,21-06-1951,IN,Tower Hand,Male,12703,Hispanic,Single,Fully Meets,1,3463,18-09-2022,4,3,4,29-Aug-22,Technical Skills,Internal,Incomplete,Harperchester,Heather Edwards,4,926.19,1,444
37,James,Duke,2018-12-03,2022-09-09,Area Sales Manager,Mark Harris,james.duke@bilearner.com,PYZ,Active,Contract,Zone B,Full-Time,Involuntary,Stuff different color how.,Sales,Shop (Fleet),17-06-1998,MA,Mechanic,Male,66835,Black,Widowed,Needs Improvement,5,3464,29-12-2022,2,5,3,13-Nov-22,Customer Service,External,Passed,Trevorside,Michaela Wright,2,290.47,1,1376
38,Willow,Stuart,2021-11-08,,Area Sales Manager,Elizabeth Tapia,willow.stuart@bilearner.com,WBL,Active,Full-Time,Zone B,Full-Time,Unk,,Sales,General - Con,07-01-1962,MA,Flagger,Male,66150,Asian,Divorced,Needs Improvement,3,3465,19-05-2023,5,4,3,04-Jun-23,Communication Skills,External,Incomplete,Port Alexaborough,Trevor Perry,1,706.1,0,636
39,Clayton,Walker,2022-04-13,2023-04-10,Area Sales Manager,Jon Holden,clayton.walker@bilearner.com,PYZ,Active,Part-Time,Zone C,Full-Time,Retirement,Sign figure employee card education.,IT/IS,Aerial,26-01-1979,KY,Supervisor,Male,64288,Other,Married,Exceeds,4,3466,04-08-2023,1,3,4,07-Dec-22,Customer Service,External,Passed,West Angelaside,Erika Jackson,3,447.66,1,362
40,Celia,Curtis,2020-05-06,,Area Sales Manager,Michael Odonnell,celia.curtis@bilearner.com,WBL,Active,Contract,Zone A,Part-Time,Unk,,Sales,Fielders,14-05-1987,KY,Engineer,Female,94333,Asian,Divorced,Exceeds,1,3467,27-06-2023,4,3,2,24-Feb-23,Technical Skills,Internal,Incomplete,Mariabury,Regina Robinson,1,759.7,0,1187
41,Valentin,Reilly,2019-09-09,,Area Sales Manager,Andres Parker,valentin.reilly@bilearner.com,NEL,Active,Contract,Zone B,Temporary,Unk,,Sales,Wireline Construction,26-04-1998,KY,Foreman,Female,45453,Black,Single,Fully Meets,4,3468,05-02-2023,3,1,3,10-May-23,Customer Service,Internal,Completed,Patelport,Michael Garcia,3,180.63,0,1427
42,Ryland,Shepherd,2020-07-29,2023-01-05,Area Sales Manager,James Berry,ryland.shepherd@bilearner.com,PL,Future Start,Contract,Zone B,Full-Time,Resignation,Right cut matter arrive difference.,Sales,Field Operations,21-02-1945,TX,Driver,Female,81905,Asian,Divorced,Needs Improvement,3,3469,01-08-2023,5,5,1,15-Aug-22,Communication Skills,Internal,Failed,North Jeanetteville,Lisa Barnes,2,552.54,1,890
43,Esteban,Gilbert,2018-11-14,2019-10-28,Area Sales Manager,Gail Ali,esteban.gilbert@bilearner.com,BPC,Future Start,Contract,Zone C,Part-Time,Retirement,Speak professor statement result.,Sales,Field Operations,31-05-1997,TX,Technician,Female,12491,Black,Married,Needs Improvement,3,3470,06-05-2023,1,2,3,26-Sep-22,Project Management,External,Passed,New Molly,Katie Wong MD,1,986.96,1,348
44,Jonathan,Adkins,2020-02-29,,Area Sales Manager,John Marshall,jonathan.adkins@bilearner.com,CCDR,Active,Part-Time,Zone C,Temporary,Unk,,Sales,Field Operations,03-01-1967,TX,Foreman,Male,64350,Asian,Married,Fully Meets,4,3471,30-04-2023,2,4,1,23-Mar-23,Customer Service,External,Passed,West Jonathan,Frank Joyce,3,109.98,0,1254
45,Nevaeh,Soto,2023-01-15,,Area Sales Manager,Jessica Chang,nevaeh.soto@bilearner.com,SVG,Active,Contract,Zone C,Full-Time,Unk,,Sales,Project Management - Con,12-01-1982,TX,Director,Male,74124,Other,Married,Exceeds,4,3472,26-07-2023,5,5,4,12-Feb-23,Technical Skills,External,Completed,Port Karatown,Matthew Meyer,5,537.24,0,203
46,Chaim,Mata,2023-06-29,,Area Sales Manager,Desiree Vang,chaim.mata@bilearner.com,EW,Active,Part-Time,Zone A,Temporary,Unk,,Sales,Shop (Fleet),01-10-1950,CO,Manager,Male,33379,Hispanic,Widowed,Exceeds,2,3473,28-06-2023,3,4,4,06-Dec-22,Communication Skills,External,Failed,Wagnertown,Frank Harris,5,789.99,0,38
47,Arely,Patton,2020-03-09,,Area Sales Manager,Andrew Goodman,arely.patton@bilearner.com,MSC,Active,Full-Time,Zone A,Temporary,Unk,,Sales,Catv,16-12-1965,CO,Laborer,Male,34481,Other,Divorced,Fully Meets,2,3474,09-05-2023,3,1,2,01-Sep-22,Customer Service,External,Incomplete,New Michaelport,Justin Rodriguez,5,155.51,0,1245
48,Vance,Trujillo,2021-09-21,2023-04-13,Area Sales Manager,Rebecca Simpson,vance.trujillo@bilearner.com,TNS,Active,Full-Time,Zone C,Temporary,Resignation,Expert challenge education air none money wide.,Sales,General - Con,25-12-1957,IN,Foreman,Male,90406,Asian,Widowed,Fully Meets,2,3475,25-01-2023,4,3,4,02-Nov-22,Customer Service,Internal,Passed,South Taylorfurt,Jenna Sherman,2,648.76,1,569
49,Charlie,Koch,2023-06-12,2023-07-06,Area Sales Manager,Samantha Cardenas,charlie.koch@bilearner.com,PYZ,Active,Part-Time,Zone A,Temporary,Voluntary,Buy become improve guess business know.,Sales,Fielders,20-06-1945,MA,Engineer,Male,95774,Asian,Divorced,Needs Improvement,2,3476,03-03-2023,5,5,3,18-Nov-22,Leadership Development,Internal,Incomplete,Stephanieshire,Dr. Margaret Allen,4,533.5,1,24
50,Sonny,Horne,2019-04-07,,Area Sales Manager,Nancy Johnson,sonny.horne@bilearner.com,PYZ,Active,Part-Time,Zone A,Full-Time,Unk,,IT/IS,Aerial,03-12-1969,KY,Laborer,Female,16058,Asian,Widowed,Needs Improvement,2,3477,05-12-2022,1,2,1,07-Nov-22,Leadership Development,External,Failed,New Cynthia,Kristin Terry,5,429.48,0,1582
51,Thomas,Chandler,2018-09-17,2019-01-09,Area Sales Manager,Richard Hodges,thomas.chandler@bilearner.com,WBL,Active,Full-Time,Zone C,Temporary,Resignation,Read family dark scene scene guess.,Sales,Wireline Construction,10-10-1957,KY,Groundman,Female,45149,Hispanic,Married,Fully Meets,2,3478,29-11-2022,3,4,1,05-Oct-22,Technical Skills,External,Incomplete,Port Matthew,Daniel Solomon,1,526.74,1,114
52,Sarai,Stone,2022-08-02,2023-04-02,Area Sales Manager,Madison Wilson,sarai.stone@bilearner.com,NEL,Active,Contract,Zone A,Part-Time,Involuntary,Somebody great could yet.,Sales,Project Management - Con,17-05-1962,TX,Technician,Female,96336,Hispanic,Widowed,Fully Meets,2,3479,03-11-2022,4,4,4,18-Jan-23,Communication Skills,Internal,Passed,Stephanieburgh,Michael Dixon,3,443.45,1,243
53,Jerimiah,Harmon,2022-09-08,2022-10-16,Area Sales Manager,Eric King,jerimiah.harmon@bilearner.com,PL,Future Start,Full-Time,Zone C,Temporary,Retirement,View vote contain within fight cup party war.,Sales,Catv,09-08-1946,TX,Supervisor,Female,75671,Black,Widowed,Fully Meets,1,3480,25-07-2023,1,5,3,02-Mar-23,Leadership Development,External,Failed,North Amyfurt,Robert Hill,1,887.15,1,38
54,Leland,Allen,2019-03-07,2021-05-31,Area Sales Manager,Brandon Harris,leland.allen@bilearner.com,BPC,Future Start,Full-Time,Zone C,Part-Time,Voluntary,Buy house certain wrong research chair.,Sales,Wireline Construction,11-12-1965,TX,Splicer,Male,61149,Other,Widowed,Fully Meets,4,3481,02-03-2023,5,2,4,29-May-23,Technical Skills,External,Incomplete,East Charleston,Glenda Ryan,5,758.95,1,816
55,Cristal,Bolton,2019-10-29,2021-02-07,Area Sales Manager,Matthew Flores,cristal.bolton@bilearner.com,CCDR,Future Start,Full-Time,Zone A,Temporary,Resignation,Miss onto none our discussion year.,Sales,Catv,11-02-1990,TX,Lineman,Male,57302,Asian,Divorced,Needs Improvement,2,3482,22-10-2022,4,5,5,03-Mar-23,Technical Skills,Internal,Failed,Saraland,Jennifer Brown,1,627.11,1,467
56,Jaslene,Harding,2021-09-26,,Area Sales Manager,Krystal Hamilton,jaslene.harding@bilearner.com,SVG,Active,Part-Time,Zone B,Temporary,Unk,,Sales,Project Management - Con,19-06-1964,CO,Coordinator,Male,42605,Asian,Widowed,Fully Meets,1,3483,23-10-2022,1,4,5,10-Aug-22,Project Management,External,Passed,Manuelfort,Cody Adams,4,111.96,0,679
57,Albert,Gonzalez,2018-08-29,,Area Sales Manager,Amber Hernandez,albert.gonzalez@bilearner.com,EW,Active,Part-Time,Zone B,Full-Time,Unk,,Sales,General - Con,18-07-1995,CO,Model Assistant,Male,64036,Other,Single,Fully Meets,4,3484,16-09-2022,1,2,4,27-Jun-23,Project Management,External,Passed,Johnsonport,Justin Barton,1,795.7,0,1803
58,Jaiden,Johnson,2021-10-26,,Area Sales Manager,Patricia Smith,jaiden.johnson@bilearner.com,MSC,Active,Contract,Zone C,Full-Time,Unk,,Sales,Field Operations,22-08-1994,CO,Laborer,Male,23173,White,Widowed,Fully Meets,5,3485,07-05-2023,2,1,3,07-Aug-22,Customer Service,Internal,Passed,Port Bradley,Michael Chase,2,796.45,0,649
59,Brendon,Mcconnell,2022-10-31,2023-06-08,Area Sales Manager,Victoria Krause,brendon.mcconnell@bilearner.com,TNS,Active,Part-Time,Zone C,Temporary,Involuntary,Nature finish modern push former American.,Sales,Fielders,14-11-1990,IN,Engineer,Male,19665,Other,Widowed,Fully Meets,4,3486,27-08-2022,3,1,1,23-Jul-23,Project Management,Internal,Completed,Lake Angelafort,Daniel Jones,5,812.59,1,220
60,Kimora,Parsons,2023-03-15,,Area Sales Manager,Jesse Hunt,kimora.parsons@bilearner.com,BPC,Active,Contract,Zone B,Part-Time,Unk,,Sales,General - Sga,01-02-1994,KY,Administrator,Female,41161,Other,Divorced,Fully Meets,4,3487,23-09-2022,5,4,1,17-Jul-23,Project Management,External,Completed,Lake Lindsayton,Duane Trevino,5,132.97,0,144
61,Willie,Patterson,2022-09-09,,Area Sales Manager,Shane Jones,willie.patterson@bilearner.com,CCDR,Active,Contract,Zone B,Full-Time,Unk,,Sales,Wireline Construction,12-11-1997,KY,Lineman,Female,52499,Asian,Single,Fully Meets,2,3488,11-03-2023,1,5,1,20-Sep-22,Communication Skills,Internal,Completed,West Cynthia,Terrence Hopkins,1,308.19,0,331
62,Devyn,Powers,2022-03-04,,Area Sales Manager,Jessica Murphy,devyn.powers@bilearner.com,EW,Active,Part-Time,Zone A,Temporary,Unk,,Sales,Field Operations,02-05-1953,TX,Laborer,Female,25634,Black,Divorced,Fully Meets,2,3489,03-12-2022,2,4,5,02-Jul-23,Project Management,Internal,Passed,Isabelchester,Brittany Savage,1,131.41,0,520
63,Weston,Preston,2019-02-11,,Area Sales Manager,Crystal Wallace,weston.preston@bilearner.com,MSC,Active,Part-Time,Zone A,Part-Time,Unk,,Sales,General - Sga,10-07-1991,TX,Director,Female,37965,Hispanic,Divorced,Fully Meets,2,3490,12-10-2022,5,3,2,19-Jul-23,Technical Skills,Internal,Failed,Lake Robertberg,Samantha Williams,3,389.59,0,1637
64,Lennon,Buchanan,2021-01-26,,Area Sales Manager,Tina Nelson,lennon.buchanan@bilearner.com,NEL,Active,Contract,Zone B,Full-Time,Unk,,Sales,Field Operations,02-06-1973,TX,Driver,Male,39504,White,Widowed,Fully Meets,5,3491,10-09-2022,3,4,5,14-Jul-23,Project Management,Internal,Incomplete,Petersville,Stephen Blair,3,442.56,0,922
65,Vicente,Merritt,2019-11-26,,Area Sales Manager,Ashley Smith,vicente.merritt@bilearner.com,PL,Active,Full-Time,Zone C,Full-Time,Unk,,Sales,General - Con,08-01-1993,CO,Clerk,Male,31676,Asian,Married,Fully Meets,1,3492,13-01-2023,1,5,5,06-Sep-22,Project Management,Internal,Incomplete,Christinahaven,Amanda Greene,3,327.66,0,1349
66,Hugo,Clay,2019-07-15,,Area Sales Manager,Eric Taylor,hugo.clay@bilearner.com,PYZ,Active,Full-Time,Zone C,Full-Time,Unk,,Sales,Project Management - Con,17-04-1984,CO,Project Manager,Male,28784,Asian,Widowed,Fully Meets,5,3493,02-04-2023,3,1,5,19-Feb-23,Project Management,Internal,Completed,Joelmouth,Cathy Fleming,3,400.95,0,1483
